date,cash,portfolio_value
2018-09-03,709899.0953780002,854329.0953780002
2018-09-04,609243.2651030002,851033.2651030002
2018-09-05,609243.2651030002,847253.2651030002
2018-09-06,609243.2651030002,845903.2651030002
2018-09-07,681610.9609670002,839110.9609670002
2018-09-10,838866.9225920002,838866.9225920002
2018-09-11,838866.9225920002,838866.9225920002
2018-09-12,838866.9225920002,838866.9225920002
2018-09-13,763450.1661770003,830650.1661770003
2018-09-14,829248.0574220002,829248.0574220002
2018-09-18,756235.0223270003,824135.0223270003
2018-09-19,691534.8567970003,822334.8567970003
2018-09-20,756434.1425470003,823234.1425470003
2018-09-21,701949.7926270004,827749.7926270004
2018-09-25,581964.0367370003,830564.0367370003
2018-09-26,581964.0367370003,1411764.0367370003
2018-09-27,738620.9280320003,1389620.9280320003
2018-09-28,738620.9280320003,1395620.9280320003
2018-10-01,738620.9280320003,1400620.9280320003
2018-10-02,738620.9280320003,1413620.9280320003
2018-10-03,738620.9280320003,1403620.9280320003
2018-10-04,738620.9280320003,1413620.9280320003
2018-10-05,738620.9280320003,1409620.9280320003
2018-10-09,738620.9280320003,1407620.9280320003
2018-10-10,738620.9280320003,1405620.9280320003
2018-10-11,738620.9280320003,1382620.9280320003
2018-10-12,738620.9280320003,1382620.9280320003
2018-10-15,738620.9280320003,1380620.9280320003
2018-10-16,738620.9280320003,1383620.9280320003
2018-10-17,738620.9280320003,1398620.9280320003
2018-10-18,738620.9280320003,1404620.9280320003
2018-10-19,738620.9280320003,1406620.9280320003
2018-10-22,738620.9280320003,1408620.9280320003
2018-10-23,738620.9280320003,1391620.9280320003
2018-10-24,738620.9280320003,1391620.9280320003
2018-10-25,738620.9280320003,1378620.9280320003
2018-10-26,1385616.8844320003,1385616.8844320003
2018-10-29,1385616.8844320003,1385616.8844320003
2018-10-30,1385616.8844320003,1385616.8844320003
2018-10-31,1385616.8844320003,1385616.8844320003
2018-11-01,1385616.8844320003,1385616.8844320003
2018-11-02,1385616.8844320003,1385616.8844320003
2018-11-05,1385616.8844320003,1385616.8844320003
